Query	Annotation	Similarity_Score	Status
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|P66059|RL11_STRP8 Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=rplK PE=3 SV=1	1.0000001192092896	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C1CQB5|RL11_STRZT Large ribosomal subunit protein uL11 OS=Streptococcus pneumoniae (strain Taiwan19F-14) OX=487213 GN=rplK PE=3 SV=1	0.9994174838066101	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A3CPA6|RL11_STRSV Large ribosomal subunit protein uL11 OS=Streptococcus sanguinis (strain SK36) OX=388919 GN=rplK PE=3 SV=1	0.9993947148323059	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C1FMW3|RL11_CLOBJ Large ribosomal subunit protein uL11 OS=Clostridium botulinum (strain Kyoto / Type A2) OX=536232 GN=rplK PE=3 SV=1	0.9977298378944397	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B1IGG6|RL11_CLOBK Large ribosomal subunit protein uL11 OS=Clostridium botulinum (strain Okra / Type B1) OX=498213 GN=rplK PE=3 SV=1	0.9977298378944397	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q31U14|RL11_SHIBS Large ribosomal subunit protein uL11 OS=Shigella boydii serotype 4 (strain Sb227) OX=300268 GN=rplK PE=3 SV=3	0.9975983500480652	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q5E232|RL11_ALIF1 Large ribosomal subunit protein uL11 OS=Aliivibrio fischeri (strain ATCC 700601 / ES114) OX=312309 GN=rplK PE=3 SV=1	0.9973714351654053	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q0ABI6|RL11_ALKEH Large ribosomal subunit protein uL11 OS=Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1) OX=187272 GN=rplK PE=3 SV=1	0.9973490238189697	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q66FQ6|RL11_YERPS Large ribosomal subunit protein uL11 OS=Yersinia pseudotuberculosis serotype I (strain IP32953) OX=273123 GN=rplK PE=3 SV=1	0.9972010850906372	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C6DHR1|RL11_PECCP Large ribosomal subunit protein uL11 OS=Pectobacterium carotovorum subsp. carotovorum (strain PC1) OX=561230 GN=rplK PE=3 SV=1	0.9970506429672241	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|C5JCV0|CHO2_BLAGS Phosphatidylethanolamine N-methyltransferase OS=Blastomyces gilchristii (strain SLH14081) OX=559298 GN=CHO2 PE=3 SV=1	0.9993424415588379	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q2UBI2|YME2_ASPOR Mitochondrial escape protein 2 OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=yme2 PE=3 SV=1	0.9902703762054443	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|G8BAW7|FAS2_CANPC Fatty acid synthase subunit alpha OS=Candida parapsilosis (strain CDC 317 / ATCC MYA-4646) OX=578454 GN=FAS2 PE=2 SV=1	0.989921510219574	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|P11637|QUTR_NEUCR Transcription factor qa-1s OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=qa-1s PE=1 SV=3	0.9898435473442078	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q10663|GCP_CAEEL Bifunctional glyoxylate cycle protein OS=Caenorhabditis elegans OX=6239 GN=icl-1 PE=1 SV=2	0.9895972013473511	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|F9X2Z5|CHS5_ZYMTI Chitin synthase 5 OS=Zymoseptoria tritici (strain CBS 115943 / IPO323) OX=336722 GN=CHS5 PE=3 SV=1	0.9895461797714233	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q9VL06|UFD4_DROME E3 ubiquitin-protein ligase Ufd4 OS=Drosophila melanogaster OX=7227 GN=Ufd4 PE=2 SV=1	0.9891234636306763	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|P45353|HIS2_PICPA Histidine biosynthesis trifunctional protein OS=Komagataella pastoris OX=4922 GN=HIS4 PE=3 SV=1	0.9889634251594543	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|B2B585|PFF1_PODAN Vacuolar membrane protease OS=Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) OX=515849 GN=Pa_2_3840 PE=3 SV=1	0.9888532161712646	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|P41516|TOP2A_RAT DNA topoisomerase 2-alpha OS=Rattus norvegicus OX=10116 GN=Top2a PE=1 SV=1	0.9884647130966187	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|P06500|DNB2_ADE04 DNA-binding protein OS=Human adenovirus E serotype 4 OX=28280 GN=DBP PE=3 SV=1	0.9958080053329468	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|Q8V432|NCAP_CVBLU Nucleoprotein OS=Bovine coronavirus (strain 98TXSF-110-LUN) OX=233264 GN=N PE=3 SV=1	0.9955665469169617	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|Q77NN4|GI_VZVO Envelope glycoprotein I OS=Varicella-zoster virus (strain Oka vaccine) OX=341980 GN=gI PE=1 SV=1	0.9953171610832214	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|Q9WCD0|NCAP_CVRNJ Nucleoprotein OS=Rat coronavirus (strain NJ) OX=231433 GN=N PE=3 SV=1	0.995281457901001	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|P75409|CARDS_MYCPN ADP-ribosylating toxin CARDS OS=Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1) OX=272634 GN=cards PE=1 SV=1	0.9951993227005005	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|P22651|GC_GAHVM Envelope glycoprotein C homolog OS=Gallid herpesvirus 2 (strain Chicken/Md5/ATCC VR-987) OX=10389 GN=gC PE=3 SV=1	0.9951774477958679	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|P26033|PHOSP_MEASI Phosphoprotein OS=Measles virus (strain IP-3-Ca) OX=11237 GN=P/V PE=3 SV=1	0.9950946569442749	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|A3EXD7|NCAP_BCHK5 Nucleoprotein OS=Bat coronavirus HKU5 OX=694008 GN=N PE=3 SV=1	0.9950010776519775	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|Q93ZS9|C3H47_ARATH Zinc finger CCCH domain-containing protein 47 OS=Arabidopsis thaliana OX=3702 GN=At3g55980 PE=2 SV=1	0.9949275255203247	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|P09208|INSR_DROME Insulin-like receptor OS=Drosophila melanogaster OX=7227 GN=InR PE=1 SV=3	0.9947490096092224	success
sp|B0C075|RS2_ACAM1 Small ribosomal subunit protein uS2 OS=Acaryochloris marina (strain MBIC 11017) OX=329726 GN=rpsB PE=3 SV=1	sp|B3DRT0|RS2_BIFLD Small ribosomal subunit protein uS2 OS=Bifidobacterium longum (strain DJO10A) OX=205913 GN=rpsB PE=3 SV=1	0.9948288202285767	success
sp|B0C075|RS2_ACAM1 Small ribosomal subunit protein uS2 OS=Acaryochloris marina (strain MBIC 11017) OX=329726 GN=rpsB PE=3 SV=1	sp|B5EHW1|RS2_CITBB Small ribosomal subunit protein uS2 OS=Citrifermentans bemidjiense (strain ATCC BAA-1014 / DSM 16622 / JCM 12645 / Bem) OX=404380 GN=rpsB PE=3 SV=1	0.9925439953804016	success
